,tweet_count,City,id,tweet_text,timestamp,hashtags,username,mentions,rewtweets,replies,link,day,hour,minute
32,,"Paradise, CA",1059381124990930944,Fall is upon us! Come join us as we just switched over to winter linens to keep you cozy. The swim spa is a 100 degrees & ready for a dip! @Sonoma Creek Getaway - Sonoma County Serenity… https://www.instagram.com/p/Bpy0nCmnMqZ/?utm_source=ig_twitter_share&amp;igshid=af0g34503trx,2018-11-05 09:45:17+00:00,,sonomacreekca,,0,0,https://twitter.com/sonomacreekca/status/1059381124990930944,5,9,45
33,,"Paradise, CA",1059336349273260032,"Always express your love & appreciation #healthyliving #appreciation #thoughtfortheday #gratitude @Paradise, California https://www.instagram.com/liveg2g/p/BpygP3tHMfg/?utm_source=ig_twitter_share&amp;igshid=10e3x1j3agseu",2018-11-05 06:47:21+00:00,#healthyliving #appreciation #thoughtfortheday #gratitude #gratitude,liveg2g,,0,0,https://twitter.com/liveg2g/status/1059336349273260032,5,6,47
34,,"Paradise, CA",1059249796307976193,Chico CA Sun Nov 4th PM Forecast: TONIGHT Mostly Clear Lo 52 MONDAY Mostly Sunny Hi 78,2018-11-05 01:03:26+00:00,,_ChicoCA,,0,0,https://twitter.com/_ChicoCA/status/1059249796307976193,5,1,3
35,,"Paradise, CA",1059247448621600768,Can't wait for tonight. See ya in a bit Can't wait for you to join us to share a meal together potluck in the Fireside Room on this Sunday Nov 4th at 530p followed by worship. Bring a… https://www.instagram.com/p/Bpx305BHDEv/?utm_source=ig_twitter_share&amp;igshid=p4vu2032cl26,2018-11-05 00:54:06+00:00,,teamwilkins,,0,0,https://twitter.com/teamwilkins/status/1059247448621600768,5,0,54
36,,"Paradise, CA",1059223676233625601,Happy Sunday sunshine makers! You light up the world with your happy! #happy #life #love #advice #dothis #success #youhavethepower #action #smile #brightwnlives… https://www.instagram.com/trudikrupocki/p/BpxtAyqHkMu/?utm_source=ig_twitter_share&amp;igshid=1t6t8ifz8ica3,2018-11-04 23:19:38+00:00,#happy #life #love #advice #dothis #success #youhavethepower #action #smile #brightwnlives,gratefulcake,,0,0,https://twitter.com/gratefulcake/status/1059223676233625601,4,23,19
37,,"Paradise, CA",1059185291179765760,Drinking a Zappa Wild Stache IPA by @SierraNevada at @sierranevada —,2018-11-04 20:47:06+00:00,,sacbeers,@SierraNevada @SierraNevada,0,0,https://twitter.com/sacbeers/status/1059185291179765760,4,20,47
38,,"Paradise, CA",1059177383666814977,What makes you drink more beer! Really “F”ing hot cheese! @sierranevada @Sierra Nevada Brewery https://www.instagram.com/p/BpxX0DKH04L/?utm_source=ig_twitter_share&amp;igshid=ot5ukwmx9kss,2018-11-04 20:15:41+00:00,,sacbeers,@SierraNevada,0,0,https://twitter.com/sacbeers/status/1059177383666814977,4,20,15
39,,"Paradise, CA",1059175736311984128,Drinking a Narwhal Raspberry by @SierraNevada at @sierranevada — http://untp.beer/s/c672278467,2018-11-04 20:09:08+00:00,,sacbeers,@SierraNevada @SierraNevada,0,0,https://twitter.com/sacbeers/status/1059175736311984128,4,20,9
40,,"Paradise, CA",1059174549244133376,"#FrogFire unofficial new fire report; details uncertain. #PlumasCounty; ~6mi S of Storrie, CA. ~88mi N of Sacramento, CA. See officials for safety info. May be incorrect; disclaimers in images.",2018-11-04 20:04:25+00:00,#FrogFire #PlumasCounty,CaliFireBot,,0,0,https://twitter.com/CaliFireBot/status/1059174549244133376,4,20,4
41,,"Paradise, CA",1059158994097303552,#breakthrough moment here after #sweet16 years of #NaNoWriMo I'm a #pantser which means I don't write with a #plot my first draft. Now typically when I hit my #ahamoment I'll scrap and… https://www.instagram.com/p/BpxPmLIltHk/?utm_source=ig_twitter_share&amp;igshid=fki59oddo20m,2018-11-04 19:02:37+00:00,#breakthrough #sweet16 #NaNoWriMo #pantser #plot #ahamoment,kathieblog,,0,0,https://twitter.com/kathieblog/status/1059158994097303552,4,19,2
